customer_id,score,date
CUST-01672,7,2024-04-22
CUST-01680,9,2025-03-05
CUST-01686,9,2025-06-17
CUST-01702,9,2025-08-08
CUST-01718,5,2024-07-23
CUST-01720,6,2025-03-03
CUST-01730,8,2025-02-20
CUST-01744,6,2024-08-16
CUST-01749,8,2024-06-17
CUST-01751,9,2024-07-30
CUST-01756,10,2024-12-16
CUST-01757,9,2025-08-10
CUST-01767,8,2024-03-19
CUST-01772,10,2024-04-17
CUST-01773,7,2025-03-08
CUST-01776,9,2025-01-05
CUST-01784,7,2024-07-05
CUST-01800,7,2025-06-24
CUST-01808,10,2025-01-19
CUST-01813,6,2025-03-01
CUST-01835,8,2025-03-15
CUST-01840,6,2024-11-11
CUST-01855,5,2024-06-02
CUST-01871,10,2025-09-24
CUST-01879,6,2024-08-05
CUST-01881,9,2024-11-14
CUST-01882,9,2025-04-21
CUST-01883,8,2025-02-15
CUST-01886,8,2024-12-18
CUST-01896,7,2025-08-19
CUST-01910,10,2024-08-18
CUST-01911,4,2025-08-17
CUST-01920,7,2025-06-10
CUST-01924,8,2024-08-29
CUST-01928,6,2024-09-24
CUST-01930,5,2025-11-16
CUST-01940,7,2025-03-23
CUST-01943,9,2025-03-18
CUST-01944,7,2024-12-24
CUST-01950,9,2024-08-29
CUST-01967,10,2024-09-06
CUST-01968,7,2025-06-12
CUST-01975,10,2024-05-25
CUST-01983,9,2025-07-05
CUST-01988,10,2024-02-06
CUST-02001,8,2025-02-11
CUST-02005,7,2025-04-18
CUST-02007,7,2024-07-01
CUST-02008,8,2025-11-14
CUST-02016,9,2024-05-03
CUST-02018,8,2025-08-11
CUST-02019,10,2025-02-22
CUST-02023,8,2025-12-11
CUST-02042,7,2024-06-02
CUST-02043,8,2025-10-07
CUST-02049,7,2025-03-01
CUST-02057,8,2025-04-11
CUST-02061,8,2024-04-29
CUST-02064,7,2025-06-08
CUST-02068,9,2024-09-04
CUST-02072,8,2025-09-02
CUST-02074,7,2024-11-20
CUST-02082,7,2025-10-10
CUST-02107,9,2024-10-03
CUST-02111,8,2025-04-18
CUST-02136,10,2025-09-06
CUST-02140,10,2024-06-16
CUST-02144,10,2024-12-11
CUST-02146,10,2024-04-02
CUST-02150,7,2025-05-15
CUST-02156,10,2024-12-17
CUST-02158,8,2024-06-10
CUST-02162,9,2024-05-25
CUST-02168,7,2025-02-14
CUST-02170,9,2024-11-11
CUST-02179,9,2024-10-24
CUST-02183,8,2025-02-02
CUST-02193,5,2024-09-04
CUST-02194,8,2025-01-30
CUST-02199,8,2025-08-27
CUST-02208,7,2025-05-02
CUST-02213,7,2024-11-30
CUST-02224,9,2025-06-06
CUST-02236,6,2025-03-15
CUST-02243,7,2024-04-22
CUST-02249,10,2024-07-07
CUST-02253,6,2024-07-12
CUST-02258,7,2024-12-04
CUST-02260,8,2024-05-18
CUST-02266,8,2025-03-03
CUST-02275,7,2025-04-29
CUST-02278,8,2025-05-17
CUST-02286,9,2024-04-25
CUST-02291,10,2024-04-06
CUST-02292,10,2024-08-18
CUST-02302,9,2025-09-24
CUST-02316,9,2025-01-07
CUST-02318,7,2024-06-07
CUST-02330,8,2024-03-04
CUST-02336,10,2025-07-12
CUST-02342,8,2024-05-19
CUST-02344,7,2024-05-21
CUST-02345,8,2024-08-21
CUST-02347,10,2025-04-05
CUST-02349,7,2024-05-23
CUST-02355,8,2024-09-08
CUST-02362,10,2024-04-14
CUST-02365,10,2025-02-25
CUST-02388,10,2024-10-30
CUST-02397,6,2024-11-13
CUST-02398,9,2025-06-22
CUST-02402,9,2024-03-16
CUST-02407,8,2025-06-27
CUST-02410,7,2024-11-16
CUST-02419,9,2024-11-11
CUST-02420,7,2025-10-21
CUST-02421,6,2025-03-09
CUST-02423,9,2025-08-01
CUST-02425,10,2024-04-22
CUST-02431,10,2024-09-26
CUST-02434,10,2025-02-05
CUST-02443,7,2025-03-08
CUST-02447,10,2025-06-26
CUST-02478,10,2024-06-05
CUST-02480,8,2025-10-08
CUST-02481,8,2024-08-21
CUST-02520,8,2025-10-01
CUST-02524,9,2025-02-27
CUST-02536,10,2024-07-31
CUST-02541,7,2025-06-06
CUST-02545,10,2025-06-18
CUST-02550,9,2024-12-16
CUST-02552,10,2024-05-12
CUST-02555,6,2025-10-05
CUST-02557,8,2025-07-05
CUST-02567,7,2025-02-10
CUST-02576,9,2025-02-23
CUST-02579,10,2025-03-10
CUST-02584,9,2024-08-27
CUST-02589,10,2024-03-09
CUST-02590,8,2024-07-08
CUST-02597,10,2024-04-19
CUST-02614,9,2024-08-22
CUST-02618,8,2025-10-01
CUST-02623,8,2024-03-30
CUST-02632,6,2025-07-18
CUST-02635,9,2024-08-10
CUST-02636,7,2024-07-02
CUST-02639,7,2024-10-10
CUST-02640,7,2025-01-21
CUST-02641,9,2024-11-01
CUST-02643,10,2024-03-03
CUST-02644,8,2025-10-31
CUST-02647,9,2025-05-30
CUST-02649,5,2024-11-21
CUST-02654,7,2025-07-24
CUST-02659,8,2024-10-15
CUST-02663,7,2025-01-06
CUST-02664,8,2024-03-16
CUST-02668,8,2024-09-25
CUST-02672,8,2024-12-31
CUST-02674,7,2025-05-04
CUST-02682,8,2025-05-10
CUST-02693,8,2025-06-22
CUST-02696,8,2024-04-30
CUST-02704,5,2025-06-26
CUST-02710,9,2025-05-27
CUST-02717,8,2024-08-18
CUST-02719,9,2025-11-08
CUST-02732,10,2024-11-06
CUST-02735,8,2025-01-10
CUST-02736,7,2024-03-21
CUST-02745,6,2025-11-14
CUST-02746,7,2025-06-28
CUST-02753,6,2025-02-16
CUST-02764,10,2025-09-08
CUST-02777,7,2025-04-04
CUST-02781,8,2025-10-15
CUST-02782,10,2024-03-28
CUST-02785,6,2024-02-28
CUST-02804,10,2024-11-29
CUST-02806,8,2024-10-09
CUST-02816,9,2024-10-12
CUST-02817,9,2025-05-20
CUST-02819,7,2025-10-07
CUST-02822,7,2025-03-02
CUST-02832,9,2025-01-06
CUST-02844,9,2025-05-10
CUST-02859,6,2024-08-29
CUST-02860,10,2024-10-26
CUST-02862,7,2025-07-08
CUST-02869,10,2025-03-24
CUST-02886,10,2024-06-02
CUST-02887,10,2024-08-07
CUST-02901,9,2024-05-23
CUST-02921,9,2025-01-12
CUST-02929,10,2024-06-12
CUST-02935,10,2025-06-14
CUST-02946,10,2024-10-08
CUST-02953,9,2024-05-28
CUST-02957,9,2024-11-06
CUST-02963,7,2024-12-08
CUST-02964,5,2025-07-10
CUST-02967,10,2025-01-21
CUST-02968,9,2024-09-19
CUST-02982,9,2024-09-09
CUST-02984,8,2025-02-26
CUST-02998,10,2025-08-16
CUST-03007,9,2025-06-29
CUST-03008,10,2025-04-01
CUST-03019,6,2024-04-22
CUST-03027,10,2024-07-08
CUST-03029,8,2024-10-15
CUST-03034,6,2024-10-30
CUST-03040,8,2025-05-16
CUST-03041,9,2024-07-29
CUST-03045,10,2024-04-04
CUST-03049,6,2024-05-24
CUST-03052,7,2025-07-29
CUST-03063,9,2024-12-18
CUST-03067,9,2024-08-01
CUST-03070,7,2024-04-27
CUST-03075,9,2025-05-31
CUST-03080,10,2024-06-20
CUST-03082,8,2025-07-13
CUST-03100,10,2024-11-03
CUST-03131,10,2025-03-17
CUST-03137,6,2025-07-06
CUST-03147,9,2024-05-04
CUST-03151,5,2024-08-22
CUST-03162,9,2025-12-10
CUST-03170,6,2025-09-17
CUST-03181,8,2024-06-14
CUST-03186,6,2024-10-05
CUST-03190,10,2024-03-27
CUST-03193,8,2024-08-29
