event_id,customer_id,event_type,event_date,sku_collection,channel,amount
d6172a1c,CUST-00013,purchase,2024-09-22,Original Ceramic - Sage,direct,8494.29
4918eca3,CUST-00013,repeat_purchase,2025-01-13,Natural Press - Oatmeal,direct,14860.54
b445cdcd,CUST-00014,site_visit,2024-09-14,,trade_show,
fa4ea2e0,CUST-00014,sample_request,2024-09-28,Glass - Champagne,trade_show,
d207c57e,CUST-00015,site_visit,2024-05-10,,organic_search,
8fabf9fd,CUST-00015,sample_request,2024-05-17,Thin Brick - Charcoal,organic_search,
fa3ab349,CUST-00015,purchase,2024-07-02,Natural Press - Oatmeal,organic_search,1449.27
d923ed75,CUST-00016,site_visit,2024-12-06,,showroom_walkin,
1a1165f8,CUST-00016,sample_request,2024-12-07,Glass - Midnight,showroom_walkin,
66e0338b,CUST-00016,purchase,2025-02-02,Natural Press - Oatmeal,showroom_walkin,1619.85
675f7b4a,CUST-00017,site_visit,2025-06-05,,trade_show,
8322444b,CUST-00017,sample_request,2025-06-08,Thin Brick - Weathered White,trade_show,
a4ec6a68,CUST-00018,site_visit,2025-06-16,,paid_social,
e9393f94,CUST-00019,site_visit,2024-05-07,,architect_referral,
ddd921b8,CUST-00019,sample_request,2024-05-28,Glass - Seaglass,architect_referral,
8531c037,CUST-00019,purchase,2024-07-09,Natural Press - Sable,architect_referral,1567.22
c94e3208,CUST-00020,site_visit,2024-08-06,,paid_social,
d0d468f8,CUST-00020,visualizer_use,2024-08-14,Thin Brick - Charcoal,paid_social,
5aacdec4,CUST-00020,sample_request,2024-08-12,Original Ceramic - Sage,paid_social,
1fb1b90c,CUST-00020,purchase,2024-08-31,Original Ceramic - Aegean,paid_social,606.3
050cf692,CUST-00021,site_visit,2025-01-28,,trade_show,
e9c3cf50,CUST-00021,sample_request,2025-02-13,Glass - Midnight,trade_show,
a5902092,CUST-00022,site_visit,2025-03-29,,trade_show,
3817aafb,CUST-00022,sample_request,2025-04-13,Glass - Midnight,trade_show,
ccb77942,CUST-00023,site_visit,2024-08-28,,showroom_walkin,
14243245,CUST-00023,sample_request,2024-09-03,Original Ceramic - Sage,showroom_walkin,
bbe28792,CUST-00023,purchase,2024-11-02,Thin Brick - Weathered White,showroom_walkin,988.2
dcc60922,CUST-00024,site_visit,2024-11-01,,email_capture,
86e927ae,CUST-00024,sample_request,2024-11-08,Glass - Midnight,email_capture,
35144c01,CUST-00024,sample_request,2024-11-23,Thin Brick - Charcoal,email_capture,
d3d51167,CUST-00024,purchase,2024-12-10,Glass - Midnight,email_capture,1413.85
e8a90e83,CUST-00025,site_visit,2024-03-26,,architect_referral,
d9508aa2,CUST-00025,visualizer_use,2024-03-31,Natural Press - Fog,architect_referral,
4a1ae28b,CUST-00025,sample_request,2024-04-02,Natural Press - Sable,architect_referral,
10d18bd3,CUST-00025,sample_request,2024-04-09,Glass - Midnight,architect_referral,
5a8be813,CUST-00025,purchase,2024-05-13,Natural Press - Fog,architect_referral,472.92
59c40703,CUST-00026,site_visit,2025-04-29,,paid_social,
83aa6d59,CUST-00026,visualizer_use,2025-05-08,Thin Brick - Terracotta,paid_social,
19c5db15,CUST-00026,sample_request,2025-05-12,Original Ceramic - Clamshell,paid_social,
1ea0dc08,CUST-00026,sample_request,2025-05-26,Thin Brick - Weathered White,paid_social,
e53efcc9,CUST-00026,purchase,2025-06-12,Thin Brick - Terracotta,paid_social,955.32
5fb536a0,CUST-00027,site_visit,2024-05-03,,trade_show,
30407a12,CUST-00027,visualizer_use,2024-05-09,Glass - Midnight,trade_show,
b9db93cd,CUST-00027,sample_request,2024-05-09,Thin Brick - Charcoal,trade_show,
e69dd9d1,CUST-00028,site_visit,2025-03-22,,paid_social,
2492a82f,CUST-00028,sample_request,2025-04-05,Thin Brick - Weathered White,paid_social,
79cd5213,CUST-00028,sample_request,2025-04-20,Original Ceramic - Clamshell,paid_social,
43277cf4,CUST-00028,purchase,2025-05-04,Natural Press - Fog,paid_social,1516.97
a5ce996e,CUST-00029,site_visit,2024-09-04,,organic_search,
056d1ebd,CUST-00029,purchase,2024-09-25,Natural Press - Oatmeal,organic_search,966.16
c83cc61f,CUST-00030,site_visit,2024-12-04,,trade_show,
0893e458,CUST-00030,visualizer_use,2024-12-05,Thin Brick - Terracotta,trade_show,
4bc0de41,CUST-00030,sample_request,2024-12-17,Thin Brick - Terracotta,trade_show,
b45eb13c,CUST-00031,site_visit,2024-08-20,,organic_search,
2165a792,CUST-00031,sample_request,2024-08-24,Thin Brick - Charcoal,organic_search,
12dc72a1,CUST-00032,site_visit,2025-05-04,,showroom_walkin,
8852e5bf,CUST-00033,site_visit,2025-03-02,,paid_social,
00c64324,CUST-00033,sample_request,2025-03-21,Original Ceramic - Aegean,paid_social,
e56bca60,CUST-00033,project_upload,2025-04-06,,paid_social,
904ae702,CUST-00033,purchase,2025-04-01,Glass - Seaglass,paid_social,5925.48
fb3bcc7a,CUST-00033,repeat_purchase,2025-07-29,Natural Press - Sable,paid_social,7043.51
b814336f,CUST-00034,site_visit,2024-09-27,,showroom_walkin,
665854f1,CUST-00035,site_visit,2024-11-10,,organic_search,
cfc487b4,CUST-00036,site_visit,2024-03-23,,paid_social,
54fde3ac,CUST-00036,visualizer_use,2024-04-02,Thin Brick - Weathered White,paid_social,
48ca4031,CUST-00036,sample_request,2024-03-24,Thin Brick - Charcoal,paid_social,
a56af21e,CUST-00036,purchase,2024-05-03,Natural Press - Sable,paid_social,1312.11
29c83c69,CUST-00037,site_visit,2024-12-07,,paid_social,
9657862e,CUST-00037,visualizer_use,2024-12-13,Glass - Champagne,paid_social,
2433295c,CUST-00037,sample_request,2024-12-09,Natural Press - Fog,paid_social,
73a578eb,CUST-00038,site_visit,2024-07-11,,paid_social,
c69159b0,CUST-00038,visualizer_use,2024-07-19,Original Ceramic - Clamshell,paid_social,
cedd9a53,CUST-00039,site_visit,2024-06-11,,architect_referral,
82106452,CUST-00039,sample_request,2024-06-14,Thin Brick - Charcoal,architect_referral,
24489f21,CUST-00039,purchase,2024-07-08,Glass - Midnight,architect_referral,981.69
bb0defe8,CUST-00040,site_visit,2024-05-19,,trade_show,
730f20b3,CUST-00040,sample_request,2024-06-06,Thin Brick - Weathered White,trade_show,
8e2bee18,CUST-00041,site_visit,2024-09-01,,direct,
b083533d,CUST-00042,site_visit,2024-02-07,,organic_search,
26c449b9,CUST-00042,sample_request,2024-02-21,Original Ceramic - Aegean,organic_search,
e0c228dd,CUST-00042,purchase,2024-03-29,Natural Press - Sable,organic_search,1494.14
7a3e29a1,CUST-00043,site_visit,2025-01-24,,architect_referral,
5ec7ef1c,CUST-00043,sample_request,2025-01-26,Glass - Seaglass,architect_referral,
74da413a,CUST-00043,project_upload,2025-02-10,,architect_referral,
a179f4b0,CUST-00043,purchase,2025-02-05,Natural Press - Fog,architect_referral,9182.15
54429a6c,CUST-00044,site_visit,2025-01-26,,organic_search,
afead705,CUST-00044,sample_request,2025-02-16,Original Ceramic - Aegean,organic_search,
ea4df347,CUST-00044,sample_request,2025-03-10,Original Ceramic - Clamshell,organic_search,
ec0938cc,CUST-00044,purchase,2025-03-17,Natural Press - Sable,organic_search,1782.71
c01f4bc1,CUST-00045,site_visit,2025-05-09,,paid_social,
52d9844f,CUST-00045,visualizer_use,2025-05-19,Glass - Seaglass,paid_social,
a52d2a83,CUST-00045,sample_request,2025-05-19,Thin Brick - Charcoal,paid_social,
e7972476,CUST-00046,site_visit,2024-12-26,,trade_show,
c3367c42,CUST-00046,sample_request,2025-01-13,Natural Press - Fog,trade_show,
c5aa1923,CUST-00047,site_visit,2024-10-06,,paid_social,
d554da13,CUST-00047,sample_request,2024-10-09,Glass - Midnight,paid_social,
a2bcfab4,CUST-00048,site_visit,2024-04-02,,trade_show,
5e9b6426,CUST-00049,site_visit,2025-07-28,,referral,
448c59ed,CUST-00049,sample_request,2025-08-10,Original Ceramic - Sage,referral,
4b91db7d,CUST-00049,sample_request,2025-08-30,Original Ceramic - Sage,referral,
3465a8d1,CUST-00049,purchase,2025-09-20,Glass - Midnight,referral,589.93
e3790487,CUST-00050,site_visit,2025-02-28,,architect_referral,
d02f9a13,CUST-00050,sample_request,2025-03-14,Natural Press - Oatmeal,architect_referral,
1a9dae32,CUST-00050,purchase,2025-05-01,Glass - Seaglass,architect_referral,902.14
72fef544,CUST-00051,site_visit,2024-01-22,,organic_search,
b19b8332,CUST-00051,visualizer_use,2024-01-30,Natural Press - Oatmeal,organic_search,
d694f45a,CUST-00051,sample_request,2024-02-05,Natural Press - Oatmeal,organic_search,
a0507245,CUST-00051,purchase,2024-02-21,Glass - Champagne,organic_search,1782.54
f0f4e478,CUST-00052,site_visit,2024-09-28,,organic_search,
da834202,CUST-00052,sample_request,2024-10-16,Original Ceramic - Sage,organic_search,
ca16664f,CUST-00053,site_visit,2024-03-03,,email_capture,
aa78addb,CUST-00054,site_visit,2025-08-22,,organic_search,
a048aef6,CUST-00054,sample_request,2025-08-25,Thin Brick - Charcoal,organic_search,
95bee181,CUST-00054,purchase,2025-09-29,Glass - Seaglass,organic_search,1643.33
5370d756,CUST-00055,site_visit,2024-06-05,,organic_search,
41bfc011,CUST-00056,site_visit,2024-12-03,,showroom_walkin,
5d17f892,CUST-00056,sample_request,2024-12-12,Thin Brick - Weathered White,showroom_walkin,
9347bf8b,CUST-00056,purchase,2025-01-18,Original Ceramic - Sage,showroom_walkin,713.94
ea0d6465,CUST-00056,repeat_purchase,2025-05-29,Glass - Seaglass,showroom_walkin,1046.33
1817ea38,CUST-00057,site_visit,2025-07-24,,architect_referral,
9739dbae,CUST-00057,sample_request,2025-07-28,Thin Brick - Weathered White,architect_referral,
35bebf8e,CUST-00057,purchase,2025-09-06,Glass - Seaglass,architect_referral,7320.16
594c60f6,CUST-00058,site_visit,2024-02-23,,organic_search,
12d0458c,CUST-00058,sample_request,2024-03-08,Glass - Seaglass,organic_search,
4bc2d98f,CUST-00058,sample_request,2024-03-26,Original Ceramic - Sage,organic_search,
94b3a393,CUST-00058,purchase,2024-04-27,Glass - Champagne,organic_search,1230.39
a45e330c,CUST-00059,site_visit,2024-08-04,,paid_social,
13754e39,CUST-00059,sample_request,2024-08-21,Thin Brick - Terracotta,paid_social,
2f90bd30,CUST-00059,purchase,2024-09-22,Original Ceramic - Aegean,paid_social,1606.47
beb4723c,CUST-00059,repeat_purchase,2025-02-09,Thin Brick - Weathered White,paid_social,1048.49
4ea2fb2f,CUST-00060,site_visit,2025-02-18,,paid_social,
0e0d19b6,CUST-00060,sample_request,2025-03-03,Original Ceramic - Sage,paid_social,
83fa2e52,CUST-00060,purchase,2025-03-29,Natural Press - Oatmeal,paid_social,1444.13
e512b95a,CUST-00061,site_visit,2024-05-31,,email_capture,
fba895b0,CUST-00061,sample_request,2024-06-20,Glass - Midnight,email_capture,
28522c57,CUST-00062,site_visit,2024-11-19,,direct,
65943028,CUST-00062,sample_request,2024-11-21,Natural Press - Sable,direct,
07b78a60,CUST-00062,sample_request,2024-12-05,Original Ceramic - Sage,direct,
4114b7bf,CUST-00062,purchase,2024-12-03,Glass - Champagne,direct,1261.01
5549b09e,CUST-00063,site_visit,2025-08-08,,email_capture,
501cf635,CUST-00063,visualizer_use,2025-08-13,Thin Brick - Terracotta,email_capture,
036af4a6,CUST-00063,sample_request,2025-08-19,Original Ceramic - Clamshell,email_capture,
5d8b5fb4,CUST-00064,site_visit,2024-10-16,,paid_social,
b520427f,CUST-00064,sample_request,2024-10-19,Glass - Champagne,paid_social,
1004914f,CUST-00065,site_visit,2024-12-24,,showroom_walkin,
d6cc67d5,CUST-00065,sample_request,2025-01-05,Thin Brick - Charcoal,showroom_walkin,
ac971c77,CUST-00066,site_visit,2025-06-04,,showroom_walkin,
5da80fe2,CUST-00066,sample_request,2025-06-08,Original Ceramic - Clamshell,showroom_walkin,
f26a7c44,CUST-00066,sample_request,2025-07-07,Glass - Champagne,showroom_walkin,
3a81cc7c,CUST-00067,site_visit,2024-05-14,,showroom_walkin,
77c76a14,CUST-00067,sample_request,2024-05-28,Original Ceramic - Aegean,showroom_walkin,
c10cb063,CUST-00067,sample_request,2024-06-16,Thin Brick - Weathered White,showroom_walkin,
389cdc65,CUST-00067,purchase,2024-07-21,Natural Press - Oatmeal,showroom_walkin,1497.32
c622ca2d,CUST-00068,site_visit,2025-08-07,,trade_show,
08709ef7,CUST-00068,visualizer_use,2025-08-16,Original Ceramic - Clamshell,trade_show,
79196807,CUST-00068,purchase,2025-09-13,Glass - Champagne,trade_show,23003.98
b9d2b914,CUST-00069,site_visit,2025-06-09,,referral,
1ed6fe70,CUST-00069,sample_request,2025-06-20,Natural Press - Oatmeal,referral,
86812807,CUST-00069,project_upload,2025-07-03,,referral,
c15f0071,CUST-00069,purchase,2025-06-29,Glass - Midnight,referral,9027.73
9537c78b,CUST-00070,site_visit,2024-09-19,,organic_search,
e63f2cec,CUST-00070,visualizer_use,2024-09-23,Natural Press - Oatmeal,organic_search,
c9691a88,CUST-00070,sample_request,2024-09-20,Natural Press - Oatmeal,organic_search,
527c38a1,CUST-00070,purchase,2024-10-28,Original Ceramic - Aegean,organic_search,1235.43
68064289,CUST-00071,site_visit,2025-06-20,,showroom_walkin,
8607bcb9,CUST-00071,sample_request,2025-07-05,Original Ceramic - Aegean,showroom_walkin,
369657ec,CUST-00071,sample_request,2025-07-10,Natural Press - Fog,showroom_walkin,
068421de,CUST-00072,site_visit,2024-12-06,,referral,
bd89160a,CUST-00072,sample_request,2024-12-21,Thin Brick - Charcoal,referral,
05339207,CUST-00073,site_visit,2024-11-13,,organic_search,
1526646f,CUST-00073,sample_request,2024-11-14,Thin Brick - Charcoal,organic_search,
a635a6f4,CUST-00074,site_visit,2025-05-24,,organic_search,
83e870b0,CUST-00074,visualizer_use,2025-06-02,Original Ceramic - Clamshell,organic_search,
eec646ac,CUST-00074,sample_request,2025-05-30,Original Ceramic - Sage,organic_search,
e3dd15fd,CUST-00075,site_visit,2024-12-27,,showroom_walkin,
9f6724a7,CUST-00075,visualizer_use,2025-01-06,Glass - Seaglass,showroom_walkin,
b3ca39de,CUST-00075,sample_request,2025-01-09,Thin Brick - Terracotta,showroom_walkin,
50ec9328,CUST-00075,sample_request,2025-02-02,Thin Brick - Charcoal,showroom_walkin,
8344c3b2,CUST-00076,site_visit,2025-08-03,,referral,
368be02f,CUST-00076,sample_request,2025-08-19,Natural Press - Fog,referral,
1b1864bb,CUST-00076,sample_request,2025-08-27,Original Ceramic - Aegean,referral,
8b9812be,CUST-00076,purchase,2025-09-26,Glass - Champagne,referral,1124.84
8df9fbea,CUST-00077,site_visit,2024-07-23,,email_capture,
2b00a29d,CUST-00078,site_visit,2024-03-07,,architect_referral,
8007d6e1,CUST-00078,purchase,2024-03-26,Natural Press - Oatmeal,architect_referral,21051.16
9433beb6,CUST-00079,site_visit,2024-03-29,,trade_show,
f4e8a73d,CUST-00080,site_visit,2025-07-18,,referral,
4b427692,CUST-00080,visualizer_use,2025-07-19,Glass - Champagne,referral,
f1b35cb1,CUST-00080,sample_request,2025-07-21,Original Ceramic - Clamshell,referral,
2c52d71e,CUST-00080,sample_request,2025-08-11,Natural Press - Sable,referral,
25ce9be7,CUST-00081,site_visit,2024-10-08,,email_capture,
f0dfc48b,CUST-00081,sample_request,2024-10-13,Thin Brick - Charcoal,email_capture,
dfa49ce7,CUST-00082,site_visit,2025-08-13,,showroom_walkin,
2ad50ae0,CUST-00083,site_visit,2025-02-19,,trade_show,
32222fcf,CUST-00083,sample_request,2025-03-01,Thin Brick - Terracotta,trade_show,
073871cb,CUST-00084,site_visit,2024-04-09,,organic_search,
5c511813,CUST-00084,sample_request,2024-04-19,Thin Brick - Weathered White,organic_search,
63d539bc,CUST-00084,sample_request,2024-05-10,Glass - Midnight,organic_search,
1b5a3d5b,CUST-00084,purchase,2024-05-15,Original Ceramic - Sage,organic_search,1096.32
60351a98,CUST-00085,site_visit,2025-04-26,,direct,
5d4873b4,CUST-00086,site_visit,2024-07-18,,referral,
53e23304,CUST-00086,visualizer_use,2024-07-27,Thin Brick - Charcoal,referral,
baa7001f,CUST-00086,sample_request,2024-07-21,Original Ceramic - Sage,referral,
c6d32ab8,CUST-00087,site_visit,2024-02-09,,organic_search,
09844254,CUST-00087,sample_request,2024-02-28,Natural Press - Fog,organic_search,
83d98d75,CUST-00087,purchase,2024-03-27,Glass - Champagne,organic_search,1110.24
49a38ea5,CUST-00088,site_visit,2025-03-02,,showroom_walkin,
8ee2bc42,CUST-00088,sample_request,2025-03-22,Thin Brick - Weathered White,showroom_walkin,
d4d12a0b,CUST-00088,purchase,2025-05-08,Glass - Seaglass,showroom_walkin,1409.66
f3b7fd41,CUST-00089,site_visit,2025-02-26,,paid_social,
7842fe5f,CUST-00089,sample_request,2025-03-02,Glass - Champagne,paid_social,
f1cc1ace,CUST-00090,site_visit,2024-09-27,,referral,
e1d36a17,CUST-00091,site_visit,2025-05-15,,architect_referral,
45e1a2ad,CUST-00091,visualizer_use,2025-05-24,Thin Brick - Charcoal,architect_referral,
a5424912,CUST-00091,sample_request,2025-05-22,Natural Press - Fog,architect_referral,
c673c85a,CUST-00091,sample_request,2025-06-05,Thin Brick - Terracotta,architect_referral,
e5ef3ff9,CUST-00091,purchase,2025-06-26,Thin Brick - Terracotta,architect_referral,1318.36
9a6c7be5,CUST-00092,site_visit,2025-08-23,,organic_search,
4359c5da,CUST-00092,visualizer_use,2025-08-29,Natural Press - Fog,organic_search,
011823ba,CUST-00092,sample_request,2025-08-25,Thin Brick - Charcoal,organic_search,
b6f8f549,CUST-00093,site_visit,2025-05-02,,direct,
99cf8ee2,CUST-00093,visualizer_use,2025-05-03,Thin Brick - Charcoal,direct,
1e6e6744,CUST-00093,sample_request,2025-05-11,Thin Brick - Terracotta,direct,
68d70225,CUST-00093,purchase,2025-07-10,Original Ceramic - Aegean,direct,646.1
6a0bc3fe,CUST-00094,site_visit,2024-02-08,,direct,
6a5e6c68,CUST-00095,site_visit,2024-04-25,,organic_search,
4a8fe5b7,CUST-00096,site_visit,2025-02-19,,referral,
07fee838,CUST-00096,sample_request,2025-02-27,Glass - Seaglass,referral,
dc380b4c,CUST-00096,project_upload,2025-04-01,,referral,
d491d4fd,CUST-00096,purchase,2025-03-09,Glass - Midnight,referral,18093.31
05761c27,CUST-00097,site_visit,2024-04-30,,paid_social,
e4953e6c,CUST-00098,site_visit,2025-07-04,,direct,
47f64a06,CUST-00098,sample_request,2025-07-15,Original Ceramic - Sage,direct,
80630582,CUST-00099,site_visit,2024-04-29,,referral,
0dd9639c,CUST-00099,visualizer_use,2024-05-01,Glass - Champagne,referral,
0fa894fa,CUST-00099,sample_request,2024-05-09,Original Ceramic - Aegean,referral,
55701915,CUST-00099,purchase,2024-06-01,Thin Brick - Terracotta,referral,1543.03
fca571a9,CUST-00100,site_visit,2024-03-11,,organic_search,
ec39f312,CUST-00101,site_visit,2025-01-21,,trade_show,
95528d28,CUST-00101,visualizer_use,2025-01-24,Original Ceramic - Aegean,trade_show,
e548896c,CUST-00102,site_visit,2024-09-10,,direct,
e8c0689f,CUST-00102,visualizer_use,2024-09-20,Glass - Seaglass,direct,
85b94e27,CUST-00102,sample_request,2024-09-11,Natural Press - Oatmeal,direct,
3df9a14e,CUST-00102,sample_request,2024-10-05,Thin Brick - Charcoal,direct,
824a84b9,CUST-00103,site_visit,2024-02-27,,referral,
163e29a5,CUST-00103,visualizer_use,2024-03-07,Thin Brick - Charcoal,referral,
5eb8b16d,CUST-00103,sample_request,2024-03-02,Natural Press - Sable,referral,
ef4da015,CUST-00103,purchase,2024-03-26,Thin Brick - Weathered White,referral,485.34
58ede8e6,CUST-00104,site_visit,2025-01-25,,email_capture,
ab67605b,CUST-00104,sample_request,2025-02-01,Natural Press - Sable,email_capture,
3189a980,CUST-00104,purchase,2025-03-06,Glass - Champagne,email_capture,1754.9
fdf3edcf,CUST-00105,site_visit,2024-07-14,,showroom_walkin,
33e6cc22,CUST-00105,visualizer_use,2024-07-23,Thin Brick - Terracotta,showroom_walkin,
7a42a23e,CUST-00105,sample_request,2024-07-18,Glass - Midnight,showroom_walkin,
e1411615,CUST-00106,site_visit,2025-05-05,,email_capture,
e09977b8,CUST-00106,visualizer_use,2025-05-09,Glass - Seaglass,email_capture,
e117f90f,CUST-00106,sample_request,2025-05-16,Natural Press - Fog,email_capture,
bd1092a1,CUST-00106,purchase,2025-07-13,Glass - Midnight,email_capture,1773.85
3068f8bc,CUST-00107,site_visit,2024-05-29,,paid_social,
de3faae9,CUST-00107,visualizer_use,2024-06-03,Natural Press - Oatmeal,paid_social,
60c51079,CUST-00107,sample_request,2024-06-12,Natural Press - Oatmeal,paid_social,
ee89b260,CUST-00107,purchase,2024-08-10,Thin Brick - Terracotta,paid_social,1084.07
2060b2e5,CUST-00107,repeat_purchase,2025-04-30,Original Ceramic - Clamshell,paid_social,757.83
5d6818ce,CUST-00108,site_visit,2025-07-09,,email_capture,
ed4de3d7,CUST-00108,visualizer_use,2025-07-09,Glass - Seaglass,email_capture,
691e0e86,CUST-00108,sample_request,2025-07-20,Natural Press - Oatmeal,email_capture,
0c26bb7b,CUST-00108,sample_request,2025-08-08,Natural Press - Fog,email_capture,
555cee5e,CUST-00108,purchase,2025-09-05,Thin Brick - Weathered White,email_capture,1333.46
ecfc7ca8,CUST-00109,site_visit,2024-10-08,,referral,
810b135f,CUST-00109,purchase,2024-10-21,Natural Press - Oatmeal,referral,1134.14
d9483480,CUST-00110,site_visit,2024-08-19,,organic_search,
ed7bf8dc,CUST-00110,sample_request,2024-08-31,Glass - Seaglass,organic_search,
b462e4ce,CUST-00110,sample_request,2024-09-10,Original Ceramic - Sage,organic_search,
60496823,CUST-00110,purchase,2024-10-04,Natural Press - Fog,organic_search,1302.87
16a9ce6b,CUST-00110,repeat_purchase,2025-04-17,Natural Press - Oatmeal,organic_search,1494.9
cb9f5813,CUST-00111,site_visit,2024-10-14,,email_capture,
9769e030,CUST-00111,sample_request,2024-10-26,Original Ceramic - Sage,email_capture,
ce2fe0f9,CUST-00112,site_visit,2024-03-21,,paid_social,
4a832c06,CUST-00113,site_visit,2024-10-06,,trade_show,
67447048,CUST-00113,visualizer_use,2024-10-15,Natural Press - Sable,trade_show,
2f22707b,CUST-00114,site_visit,2025-02-02,,paid_social,
05b75c81,CUST-00114,visualizer_use,2025-02-03,Original Ceramic - Clamshell,paid_social,
a9f29580,CUST-00114,sample_request,2025-02-11,Glass - Champagne,paid_social,
d2c5af59,CUST-00114,sample_request,2025-03-05,Original Ceramic - Sage,paid_social,
60d173db,CUST-00114,project_upload,2025-03-18,,paid_social,
590c3e65,CUST-00114,purchase,2025-04-08,Glass - Champagne,paid_social,4215.85
8e86a32e,CUST-00115,site_visit,2024-06-20,,organic_search,
f6091d8c,CUST-00116,site_visit,2024-05-18,,referral,
a71a6bbe,CUST-00116,sample_request,2024-05-31,Thin Brick - Charcoal,referral,
2f552c6f,CUST-00116,sample_request,2024-06-27,Natural Press - Oatmeal,referral,
364eb55a,CUST-00116,purchase,2024-06-18,Natural Press - Fog,referral,1750.4
a4972092,CUST-00117,site_visit,2025-02-06,,paid_social,
2b6f586b,CUST-00117,sample_request,2025-02-20,Thin Brick - Terracotta,paid_social,
6a5bdbfb,CUST-00117,purchase,2025-04-18,Thin Brick - Charcoal,paid_social,1513.06
f9aa88ae,CUST-00118,site_visit,2024-03-16,,architect_referral,
379c00e1,CUST-00118,sample_request,2024-04-02,Original Ceramic - Aegean,architect_referral,
92bb1c89,CUST-00118,purchase,2024-05-19,Original Ceramic - Sage,architect_referral,1680.16
58cf3532,CUST-00119,site_visit,2025-02-13,,email_capture,
977bdbee,CUST-00119,sample_request,2025-03-03,Thin Brick - Terracotta,email_capture,
fbbcdb3b,CUST-00120,site_visit,2024-10-29,,trade_show,
c8d8ae87,CUST-00121,site_visit,2025-04-08,,organic_search,
3f1c3ddc,CUST-00121,sample_request,2025-04-13,Thin Brick - Terracotta,organic_search,
d0cd8c84,CUST-00121,sample_request,2025-05-05,Glass - Seaglass,organic_search,
