engagement_id,customer_id,campaign_type,sent_date,opened,clicked
e544520a,CUST-00047,reactivation,2024-12-24,0,0
c933c0e6,CUST-00048,welcome,2024-04-03,0,0
018a4b4f,CUST-00049,welcome,2025-07-29,1,0
2a34dbef,CUST-00049,sample_followup,2025-08-13,1,0
c3a92f5d,CUST-00049,post_purchase,2025-09-25,1,0
84dce545,CUST-00050,welcome,2025-03-01,0,0
d3918e65,CUST-00050,sample_followup,2025-03-17,0,1
5df181f3,CUST-00050,post_purchase,2025-05-06,1,0
16ad08eb,CUST-00051,welcome,2024-01-23,1,0
7f34ace0,CUST-00051,sample_followup,2024-02-08,1,0
e6893185,CUST-00051,post_purchase,2024-02-26,1,0
72ccfd0e,CUST-00052,welcome,2024-09-29,1,1
834f2276,CUST-00052,sample_followup,2024-10-19,0,0
9d46d6dc,CUST-00052,reactivation,2025-01-12,0,0
aec6112d,CUST-00053,welcome,2024-03-04,1,0
2e3a5b34,CUST-00054,welcome,2025-08-23,0,0
e11c4da0,CUST-00054,sample_followup,2025-08-28,0,0
ed3ca67d,CUST-00054,post_purchase,2025-10-04,1,0
d1f6baa1,CUST-00055,welcome,2024-06-06,1,1
1dd88aa3,CUST-00056,welcome,2024-12-04,0,0
50c2d0fd,CUST-00056,sample_followup,2024-12-15,1,1
cbc9e7c5,CUST-00056,post_purchase,2025-01-23,1,0
c671e963,CUST-00057,welcome,2025-07-25,0,0
a14dd4a0,CUST-00057,sample_followup,2025-07-31,0,1
26c042c0,CUST-00057,post_purchase,2025-09-11,1,1
cf65df15,CUST-00058,welcome,2024-02-24,0,0
eda2ed57,CUST-00058,sample_followup,2024-03-11,1,0
66a2b94d,CUST-00058,post_purchase,2024-05-02,0,1
0ed35860,CUST-00059,welcome,2024-08-05,1,0
4b1eeacf,CUST-00059,sample_followup,2024-08-24,1,0
cee4f20e,CUST-00059,post_purchase,2024-09-27,1,0
0333dc3d,CUST-00060,welcome,2025-02-19,0,0
c6e2070b,CUST-00060,sample_followup,2025-03-06,1,0
eb73be3e,CUST-00060,post_purchase,2025-04-03,1,0
fd9ce55a,CUST-00061,welcome,2024-06-01,1,0
f1766021,CUST-00061,sample_followup,2024-06-23,0,0
17265346,CUST-00061,reactivation,2024-09-14,0,0
5562ea35,CUST-00062,welcome,2024-11-20,0,0
c95b0f5e,CUST-00062,sample_followup,2024-11-24,0,1
dd6c8fca,CUST-00062,post_purchase,2024-12-08,1,0
f4c18b3b,CUST-00063,welcome,2025-08-09,1,1
507d1ab6,CUST-00063,sample_followup,2025-08-22,1,0
ce9cbd59,CUST-00064,welcome,2024-10-17,0,0
159a4cd9,CUST-00064,sample_followup,2024-10-22,0,0
91075100,CUST-00064,reactivation,2025-01-15,0,0
833e08d9,CUST-00065,welcome,2024-12-25,1,0
fdb45e92,CUST-00065,sample_followup,2025-01-08,0,0
52b1f14c,CUST-00065,reactivation,2025-03-23,0,0
66fdf63a,CUST-00066,welcome,2025-06-05,0,0
50ab0073,CUST-00066,sample_followup,2025-06-11,1,0
24904eb5,CUST-00067,welcome,2024-05-15,0,0
58ab6a94,CUST-00067,sample_followup,2024-05-31,1,0
b4209141,CUST-00067,post_purchase,2024-07-26,1,0
904d55c2,CUST-00068,welcome,2025-08-08,1,0
307a3100,CUST-00068,post_purchase,2025-09-18,0,0
7fc6d12b,CUST-00069,welcome,2025-06-10,0,0
b0492f03,CUST-00069,sample_followup,2025-06-23,1,1
5996f532,CUST-00069,project_nurture,2025-07-28,0,0
c5dc124f,CUST-00069,post_purchase,2025-07-04,0,1
503bfc8e,CUST-00070,welcome,2024-09-20,0,0
5cf9fa75,CUST-00070,sample_followup,2024-09-23,1,0
b5c433f2,CUST-00070,post_purchase,2024-11-02,0,0
c49b1c8e,CUST-00071,welcome,2025-06-21,1,0
bd823d7a,CUST-00071,sample_followup,2025-07-08,0,0
03491ce1,CUST-00071,reactivation,2025-08-26,0,0
cac673e8,CUST-00072,welcome,2024-12-07,0,0
8674741d,CUST-00072,sample_followup,2024-12-24,1,0
019d4a7b,CUST-00072,reactivation,2025-01-22,0,1
b19f65cc,CUST-00073,welcome,2024-11-14,1,1
f06b26f3,CUST-00073,sample_followup,2024-11-17,1,0
5caf0b65,CUST-00073,reactivation,2025-01-30,0,0
ec94d9e7,CUST-00074,welcome,2025-05-25,0,0
dac12358,CUST-00074,sample_followup,2025-06-02,1,0
95bb496b,CUST-00074,reactivation,2025-07-26,1,0
78e854c0,CUST-00075,welcome,2024-12-28,0,0
9b3bfda3,CUST-00075,sample_followup,2025-01-12,0,0
6c127698,CUST-00075,reactivation,2025-02-10,1,0
7bb0c4f8,CUST-00076,welcome,2025-08-04,0,0
9fe3e227,CUST-00076,sample_followup,2025-08-22,1,0
3730227d,CUST-00076,post_purchase,2025-10-01,1,0
1dc6a2ef,CUST-00077,welcome,2024-07-24,1,0
83362232,CUST-00078,welcome,2024-03-08,0,0
11749acc,CUST-00078,post_purchase,2024-03-31,0,1
704ce308,CUST-00079,welcome,2024-03-30,0,1
15b8520e,CUST-00080,welcome,2025-07-19,1,0
a7a2e297,CUST-00080,sample_followup,2025-07-24,1,0
1149a881,CUST-00081,welcome,2024-10-09,1,0
05ec10aa,CUST-00081,sample_followup,2024-10-16,0,0
45857f70,CUST-00081,reactivation,2024-11-14,0,1
5eddfb1f,CUST-00082,welcome,2025-08-14,1,0
9a79a822,CUST-00083,welcome,2025-02-20,1,0
c0d8833e,CUST-00083,sample_followup,2025-03-04,0,0
47c13af1,CUST-00083,trade_engagement,2025-04-06,0,0
fd6fe6b6,CUST-00084,welcome,2024-04-10,0,0
6a25af12,CUST-00084,sample_followup,2024-04-22,0,0
19d4087c,CUST-00084,post_purchase,2024-05-20,0,0
febec522,CUST-00085,welcome,2025-04-27,1,0
84460f99,CUST-00086,welcome,2024-07-19,1,0
7e96a10d,CUST-00086,sample_followup,2024-07-24,1,0
3f9b69d6,CUST-00086,reactivation,2024-10-07,1,0
b8c310f3,CUST-00087,welcome,2024-02-10,1,0
6e473e31,CUST-00087,sample_followup,2024-03-02,1,0
dce1e82c,CUST-00087,post_purchase,2024-04-01,1,0
28fcaaff,CUST-00088,welcome,2025-03-03,0,0
4e67340e,CUST-00088,sample_followup,2025-03-25,0,0
064c6943,CUST-00088,post_purchase,2025-05-13,1,0
2269db54,CUST-00089,welcome,2025-02-27,0,0
4f09a53c,CUST-00089,sample_followup,2025-03-05,1,0
567f7047,CUST-00089,reactivation,2025-04-21,0,0
0cb483c8,CUST-00090,welcome,2024-09-28,1,0
fb0f6f1c,CUST-00091,welcome,2025-05-16,0,0
50061c5c,CUST-00091,sample_followup,2025-05-25,0,0
6ac1f194,CUST-00091,post_purchase,2025-07-01,1,0
7dec48a7,CUST-00092,welcome,2025-08-24,0,0
a66a7edf,CUST-00092,sample_followup,2025-08-28,0,1
8010662f,CUST-00093,welcome,2025-05-03,1,0
06b1fcde,CUST-00093,sample_followup,2025-05-14,0,0
f0aabdad,CUST-00093,post_purchase,2025-07-15,0,0
6f5ea433,CUST-00094,welcome,2024-02-09,0,0
67ce5ea7,CUST-00095,welcome,2024-04-26,1,0
25d52df3,CUST-00096,welcome,2025-02-20,1,0
04ab1ec8,CUST-00096,sample_followup,2025-03-02,1,0
65163870,CUST-00096,project_nurture,2025-03-29,1,0
43a408c1,CUST-00096,post_purchase,2025-03-14,1,0
6aa3d1af,CUST-00097,welcome,2024-05-01,0,0
8ad9d1b7,CUST-00098,welcome,2025-07-05,0,0
802891a8,CUST-00098,sample_followup,2025-07-18,0,0
5d0b33ad,CUST-00098,reactivation,2025-08-26,0,0
9435d1f5,CUST-00099,welcome,2024-04-30,0,0
627ad423,CUST-00099,sample_followup,2024-05-12,0,0
f3a286e7,CUST-00099,post_purchase,2024-06-06,1,1
4c617e0f,CUST-00100,welcome,2024-03-12,0,0
989f9872,CUST-00101,welcome,2025-01-22,0,0
d1d8966f,CUST-00101,trade_engagement,2025-03-24,0,0
7d9b81b2,CUST-00102,welcome,2024-09-11,0,0
8503faad,CUST-00102,sample_followup,2024-09-14,1,1
3df95d4e,CUST-00102,reactivation,2024-10-14,0,1
062b997e,CUST-00103,welcome,2024-02-28,0,0
f1b710d0,CUST-00103,sample_followup,2024-03-05,0,0
d1510b69,CUST-00103,post_purchase,2024-03-31,0,0
9a5fd7b8,CUST-00104,welcome,2025-01-26,1,0
8e0f3417,CUST-00104,sample_followup,2025-02-04,0,0
310b9988,CUST-00104,post_purchase,2025-03-11,1,0
d8196b86,CUST-00105,welcome,2024-07-15,0,0
c7c63752,CUST-00105,sample_followup,2024-07-21,1,0
2f7cd7e0,CUST-00105,reactivation,2024-08-30,0,0
a5880370,CUST-00106,welcome,2025-05-06,1,0
92a28543,CUST-00106,sample_followup,2025-05-19,1,0
e459a65c,CUST-00106,post_purchase,2025-07-18,0,0
bfc4c6b8,CUST-00107,welcome,2024-05-30,0,0
6ae2d160,CUST-00107,sample_followup,2024-06-15,0,0
f14f2eb1,CUST-00107,post_purchase,2024-08-15,0,0
88ef9d2a,CUST-00108,welcome,2025-07-10,1,0
2539002f,CUST-00108,sample_followup,2025-07-23,1,0
07d9f658,CUST-00108,post_purchase,2025-09-10,0,0
eb454f90,CUST-00109,welcome,2024-10-09,0,0
c4c8c18b,CUST-00109,post_purchase,2024-10-26,1,0
5f8b9e41,CUST-00110,welcome,2024-08-20,0,0
1d282055,CUST-00110,sample_followup,2024-09-03,0,1
57505bd2,CUST-00110,post_purchase,2024-10-09,1,0
b778abcc,CUST-00111,welcome,2024-10-15,0,0
1e178bb6,CUST-00111,sample_followup,2024-10-29,1,0
748a5359,CUST-00111,reactivation,2025-01-07,0,0
14e0fc58,CUST-00112,welcome,2024-03-22,1,1
badbfde9,CUST-00113,welcome,2024-10-07,0,0
65b4ae4b,CUST-00113,trade_engagement,2024-11-19,0,0
9cd79ac0,CUST-00114,welcome,2025-02-03,1,0
f6e4a2bc,CUST-00114,sample_followup,2025-02-14,0,1
cad93965,CUST-00114,project_nurture,2025-03-05,0,1
4ed714e7,CUST-00114,post_purchase,2025-04-13,0,0
6ea51c8d,CUST-00115,welcome,2024-06-21,0,0
334b9313,CUST-00116,welcome,2024-05-19,0,0
744fb994,CUST-00116,sample_followup,2024-06-03,0,0
b4f4410a,CUST-00116,post_purchase,2024-06-23,1,0
aaee3ba5,CUST-00117,welcome,2025-02-07,0,0
0601ba22,CUST-00117,sample_followup,2025-02-23,1,0
fd71a51d,CUST-00117,post_purchase,2025-04-23,1,0
2c3fc8ab,CUST-00118,welcome,2024-03-17,1,0
9cbab236,CUST-00118,sample_followup,2024-04-05,0,0
c92130d8,CUST-00118,post_purchase,2024-05-24,0,0
f80d1512,CUST-00119,welcome,2025-02-14,1,0
cb0f0fb6,CUST-00119,sample_followup,2025-03-06,0,0
37c65403,CUST-00119,reactivation,2025-05-09,0,0
a3fae731,CUST-00120,welcome,2024-10-30,0,0
9c013fd6,CUST-00121,welcome,2025-04-09,0,1
e31f0fbb,CUST-00121,sample_followup,2025-04-16,1,0
e436629a,CUST-00121,reactivation,2025-05-27,0,0
7e8d3568,CUST-00122,welcome,2025-02-10,1,0
8277d2d6,CUST-00122,sample_followup,2025-02-24,0,0
c7071ab7,CUST-00122,post_purchase,2025-03-17,0,0
326759dd,CUST-00123,welcome,2024-12-23,0,0
5d6dca55,CUST-00123,sample_followup,2024-12-28,1,0
447bdd05,CUST-00123,post_purchase,2025-02-01,1,0
b1ee1a30,CUST-00124,welcome,2025-07-23,1,0
bc712f65,CUST-00124,sample_followup,2025-07-29,0,0
b30ae3a3,CUST-00125,welcome,2024-06-21,1,1
4eb026cd,CUST-00125,sample_followup,2024-07-03,0,0
d2f92227,CUST-00125,post_purchase,2024-07-29,1,0
5f55aa94,CUST-00126,welcome,2024-09-11,1,0
bacf8e56,CUST-00126,sample_followup,2024-09-25,0,0
ce591abd,CUST-00126,post_purchase,2024-11-12,0,0
30a2b68c,CUST-00127,welcome,2024-10-27,1,0
466cfb0f,CUST-00127,sample_followup,2024-11-11,0,0
12e16106,CUST-00127,post_purchase,2024-12-10,1,1
29bfb8ec,CUST-00128,welcome,2024-04-06,0,0
a4f50471,CUST-00128,sample_followup,2024-04-08,1,0
d29519b7,CUST-00128,reactivation,2024-06-28,1,0
7c4aec03,CUST-00129,welcome,2024-08-05,1,0
4ad30eb8,CUST-00129,sample_followup,2024-08-17,0,1
58d5a220,CUST-00129,reactivation,2024-09-14,1,0
6351800b,CUST-00130,welcome,2025-03-15,0,0
fc88a6f5,CUST-00130,post_purchase,2025-04-18,0,0
11ed4125,CUST-00131,welcome,2025-05-04,0,1
b7d2ffef,CUST-00132,welcome,2024-03-14,1,0
fb10c567,CUST-00132,sample_followup,2024-03-20,0,0
aa134074,CUST-00132,post_purchase,2024-05-09,0,0
301112e3,CUST-00133,welcome,2024-05-07,1,0
14bb8d90,CUST-00133,sample_followup,2024-05-19,0,0
7f4ce017,CUST-00133,post_purchase,2024-07-09,1,0
6267c24b,CUST-00134,welcome,2024-09-03,1,0
c3e23010,CUST-00134,sample_followup,2024-09-19,1,0
56acdfff,CUST-00134,project_nurture,2024-09-28,1,1
d2bcfe30,CUST-00134,post_purchase,2024-11-17,0,0
0b51f77b,CUST-00135,welcome,2024-06-06,0,0
a4265199,CUST-00135,sample_followup,2024-06-21,0,1
1b4f1458,CUST-00135,reactivation,2024-09-10,1,0
fafedf90,CUST-00136,welcome,2024-02-27,1,1
4b028ad7,CUST-00136,sample_followup,2024-03-16,1,0
117ab3c3,CUST-00136,trade_engagement,2024-04-19,0,1
83f2e429,CUST-00137,welcome,2024-03-07,1,0
408dd2c3,CUST-00137,sample_followup,2024-03-17,0,0
910029dd,CUST-00137,project_nurture,2024-04-22,1,1
5e78f5c4,CUST-00137,post_purchase,2024-04-04,1,0
ac5f8c5d,CUST-00138,welcome,2024-11-24,1,0
a43b6c5f,CUST-00138,reactivation,2024-12-30,0,0
e945d80c,CUST-00139,welcome,2024-03-30,0,0
569defc6,CUST-00139,trade_engagement,2024-06-21,1,0
68f9938f,CUST-00140,welcome,2024-01-08,1,0
ffcdb5fe,CUST-00140,post_purchase,2024-02-21,1,1
c7d6ab19,CUST-00141,welcome,2025-06-17,0,1
a9672af3,CUST-00141,sample_followup,2025-06-21,0,0
9cdb41eb,CUST-00141,post_purchase,2025-07-16,0,0
c3452b3c,CUST-00142,welcome,2025-04-23,0,0
3ba9df2b,CUST-00142,sample_followup,2025-05-08,1,0
1f1e59b1,CUST-00142,post_purchase,2025-06-06,1,0
6e0f2131,CUST-00143,welcome,2024-02-02,0,1
7af8ba42,CUST-00143,sample_followup,2024-02-18,1,0
d500521f,CUST-00143,reactivation,2024-04-26,1,0
39bcd727,CUST-00144,welcome,2024-03-08,0,0
433460bb,CUST-00144,sample_followup,2024-03-20,0,0
cea01a29,CUST-00144,project_nurture,2024-04-27,1,0
8dc9e579,CUST-00144,post_purchase,2024-03-31,1,0
d65e5ed9,CUST-00145,welcome,2024-05-21,0,0
d67ce946,CUST-00146,welcome,2025-07-12,1,0
43d09e81,CUST-00147,welcome,2024-06-13,0,0
c212ea36,CUST-00148,welcome,2024-06-27,1,0
61c07e66,CUST-00149,welcome,2025-05-20,1,0
f62faefb,CUST-00149,sample_followup,2025-06-01,0,0
30760bb7,CUST-00149,post_purchase,2025-06-19,0,0
991498f5,CUST-00150,welcome,2025-02-10,1,0
cb5e9aeb,CUST-00151,welcome,2025-07-30,0,0
f4c7a1ce,CUST-00151,sample_followup,2025-08-02,0,0
de1edbcb,CUST-00151,reactivation,2025-08-31,1,0
6f9d5323,CUST-00152,welcome,2025-08-03,1,0
fd42cd61,CUST-00152,sample_followup,2025-08-17,0,0
668fdec6,CUST-00152,project_nurture,2025-09-20,1,1
d7202c8f,CUST-00152,post_purchase,2025-10-11,0,0
7571146b,CUST-00153,welcome,2025-08-15,1,0
de480d45,CUST-00153,sample_followup,2025-08-19,0,0
195ceba7,CUST-00154,welcome,2024-06-18,1,0
febe9e6c,CUST-00154,reactivation,2024-09-05,0,0
1f3ea722,CUST-00155,welcome,2025-05-18,1,0
974ac526,CUST-00155,sample_followup,2025-05-23,1,0
e7cf186a,CUST-00155,post_purchase,2025-06-08,1,0
69f0b3e7,CUST-00156,welcome,2025-01-26,1,0
2b0b5c84,CUST-00156,sample_followup,2025-02-01,0,1
f4c6589c,CUST-00156,reactivation,2025-04-17,0,0
28a81fda,CUST-00157,welcome,2025-03-05,1,0
4471dfb5,CUST-00157,sample_followup,2025-03-23,0,0
05066a06,CUST-00157,project_nurture,2025-04-07,0,0
51a901c3,CUST-00157,post_purchase,2025-05-14,1,0
1c69f0a1,CUST-00158,welcome,2025-02-11,1,0
9532c6c3,CUST-00159,welcome,2024-06-01,0,0
4c54d10e,CUST-00159,sample_followup,2024-06-12,0,0
051c26d0,CUST-00159,post_purchase,2024-07-21,1,0
9ae8849b,CUST-00160,welcome,2024-09-01,0,1
030625a5,CUST-00160,sample_followup,2024-09-11,0,0
34329298,CUST-00160,post_purchase,2024-10-09,0,0
d11ee58d,CUST-00161,welcome,2025-02-21,0,0
7567b0bc,CUST-00161,sample_followup,2025-02-26,0,1
c6096d61,CUST-00161,post_purchase,2025-04-05,0,0
b0252553,CUST-00162,welcome,2024-02-02,1,0
0beea705,CUST-00162,sample_followup,2024-02-09,0,0
20510d8a,CUST-00162,post_purchase,2024-03-25,0,0
c6379d45,CUST-00163,welcome,2024-01-11,0,1
54991f22,CUST-00163,reactivation,2024-03-11,0,0
54f3d125,CUST-00164,welcome,2024-11-06,1,0
05367426,CUST-00165,welcome,2024-11-02,1,0
e250ddbc,CUST-00165,reactivation,2024-12-23,1,0
1176e722,CUST-00166,welcome,2025-02-18,1,0
89f63022,CUST-00166,sample_followup,2025-03-10,1,0
9762ad81,CUST-00166,trade_engagement,2025-06-05,0,0
a8fc39ee,CUST-00167,welcome,2025-07-26,0,0
e6a6816d,CUST-00168,welcome,2024-08-17,1,0
75d94e52,CUST-00168,sample_followup,2024-08-20,0,0
23e55635,CUST-00168,post_purchase,2024-10-11,1,0
9a93e7ac,CUST-00169,welcome,2024-07-04,1,0
7b1b6da5,CUST-00169,sample_followup,2024-07-11,0,0
a6a2dc1f,CUST-00169,project_nurture,2024-08-19,0,1
65e7894b,CUST-00169,post_purchase,2024-09-04,0,0
6709769a,CUST-00170,welcome,2024-05-13,1,0
924a46ff,CUST-00170,sample_followup,2024-05-25,1,0
b44a8e63,CUST-00170,post_purchase,2024-07-04,1,0
976ac6ba,CUST-00171,welcome,2024-01-24,0,0
d91a4cf5,CUST-00171,sample_followup,2024-02-05,0,1
9266f9ad,CUST-00171,post_purchase,2024-03-11,1,0
60157eba,CUST-00172,welcome,2025-03-05,1,0
52cac78a,CUST-00172,sample_followup,2025-03-15,0,0
359d344f,CUST-00172,post_purchase,2025-04-06,1,1
486d7209,CUST-00173,welcome,2024-06-02,0,0
f312f8c0,CUST-00173,sample_followup,2024-06-05,0,0
2efec1cf,CUST-00173,trade_engagement,2024-07-29,0,0
9de4a57b,CUST-00174,welcome,2024-05-22,1,0
c2f34dde,CUST-00174,trade_engagement,2024-07-20,0,0
8520d6ca,CUST-00175,welcome,2024-06-20,0,0
a0283a80,CUST-00175,sample_followup,2024-07-03,1,0
5ebdf966,CUST-00175,post_purchase,2024-08-24,0,1
5e3b38da,CUST-00176,welcome,2024-11-18,0,0
8409719e,CUST-00177,welcome,2024-04-08,1,0
f575de60,CUST-00178,welcome,2024-06-10,1,0
3b27472a,CUST-00178,sample_followup,2024-06-19,0,0
8bd74692,CUST-00178,trade_engagement,2024-08-13,1,0
365d9d3d,CUST-00179,welcome,2024-01-20,0,0
36013d9c,CUST-00180,welcome,2025-04-13,1,0
7862fd82,CUST-00181,welcome,2024-08-16,0,0
dbf56e8d,CUST-00181,post_purchase,2024-09-06,0,0
54a3383e,CUST-00182,welcome,2024-12-13,0,0
38c9c649,CUST-00182,sample_followup,2024-12-24,0,1
e3cf399b,CUST-00182,reactivation,2025-02-16,0,0
6e8cc99d,CUST-00183,welcome,2024-07-01,1,0
fe68a029,CUST-00183,sample_followup,2024-07-15,0,0
